country,operator_short_name,operator_official_name
CH,BLSN,BLS Netz AG
CH,DB,DB Netz AG
CH,RhB,Rhätische Bahn AG
CH,SNCF,SNCF Réseau
CH,SOB,Schweizerische Südostbahn AG
CH,ST,Sursee-Triengen-Bahn AG
DE,AVG,Albtal-Verkehrs-Gesellschaft mbH
DE,BRE,Bayerische Regionaleisenbahn GmbH
DE,BSM,Bahnen der Stadt Monheim GmbH
DE,CVAG,Chemnitzer Verkehrs-AG
DE,DB,DB Netz AG
DE,DRE,Deutsche Regionaleisenbahn GmbH
DE,DVB,Dresdner Verkehrsbetriebe AG
DE,EVS,EVS EUREGIO Verkehrsschienennetz GmbH
DE,HSB,Harzer Schmalspurbahnen GmbH
DE,NIAG,Niederrheinische Verkehrsbetriebe AG
DE,NRE,Nossen-Riesaer Eisenbahn-Compagnie GmbH
DE,RISS,Regio Infra Service Sachsen GmbH
DE,RNV,Rhein-Neckar-Verkehr GmbH
DE,RPE,RP Eisenbahn GmbH
DE,RTB,Rurtalbahn GmbH
DE,SWEG,SWEG Schienenwege GmbH
DE,TER,TouristikEisenbahnRuhrgebiet GmbH
DE,ThE,Thüringer Eisenbahn GmbH
DE,VAG,Freiburger Verkehrs AG
DE,WLE,Westfälische Landes-Eisenbahn GmbH
FR,SNCF,SNCF Réseau
IT,RhB,Rhätische Bahn AG
LU,CFL,Société Nationale des Chemins de Fer Luxembourgeois
