operator_official_name,operator_short_name,country
Arriva Rail London (branded as: London Overground),LO,UK
Avanti West Coast,VT,UK
c2c,CC,UK
Caledonian Sleeper,CS,UK
Chiltern Railways,CH,UK
CrossCountry,XC,UK
East Midlands Railway,EM,UK
Elizabeth Line,XR,UK
Eurostar,ES,UK
Govia Thameslink Railway ,GTR,UK
Grand Central,GC,UK
Greater Anglia,LE,UK
Great Western Railway,GW,UK
Heathrow Express,HX,UK
Hull Trains,HT,UK
London North Eastern Railway,GR,UK
Lumo,LD,UK
Merseyrail,ME,UK
Northern Trains,NT,UK
ScotRail,SR,UK
Southeastern,SE,UK
South Western Railway,SW,UK
TransPennine Express,TP,UK
Transport for Wales Rail,AW,UK
West Midlands Trains (branded as: West Midlands Railway and London Northwestern Railway),LM,UK
Gatwick Express,GX,UK
Great Northern,GN,UK
Thameslink,TL,UK
Colas Rail,CR,UK
DCRail,DCR,UK
Direct Rail Services,DRS,UK
DB Cargo UK,DB,UK
Freightliner,FL,UK
GB RailFreight,GBRf,UK
Mendip Rail,MR,UK
DB Fernverkehr,FM,DE
DB ZugBus Regionalverkehr Alb-Bodensee ,RAB,DE
Usedom Baederbahn,UBB,DE
